Outcome_M1,Outcome_M2,Outcome_M3,Outcome_M4,Outcome_M5,Outcome_M6,Outcome_M7,Outcome_M8,Outcome_M9,Outcome_M10,Outcome_M11,Outcome_M12,Cat_1,Date_1,Quan_1,Quan_2,Quan_3,Quan_4,Date_2,Quan_5,Quan_6,Quan_7,Quan_8,Quan_9,Quan_10,Quan_11,Quan_12,Quan_13,Quan_14,Cat_2,Cat_3,Cat_4,Cat_5,Cat_6,Cat_10,Cat_11,Cat_13,Cat_15,Quan_15,Cat_17,Cat_23,Quan_16,Quan_17,Quan_18,Cat_111,Cat_114,Cat_115,Cat_121,Cat_122,Cat_147,Cat_168,Cat_171,Cat_209,Cat_214,Cat_215,Cat_222,Cat_223,Cat_225,Cat_233,Cat_235,Cat_237,Cat_240,Cat_249,Cat_258,Cat_259,Cat_260,Cat_262,Cat_300,Cat_302,Cat_311,Cat_326,Cat_336,Cat_343,Cat_356,Cat_370,Cat_373,Cat_374,Quan_19,Quan_20,Quan_21,Cat_397,Cat_400,Cat_403,Cat_419,Cat_425,Cat_426,Cat_442,Cat_443,Cat_445,Cat_448,Cat_455,Cat_457,Quant_22,Cat_458,Quant_23,Quant_24,Cat_460,Quant_25,Cat_462,Cat_465,Cat_467,Cat_470,Cat_481,Cat_483,Cat_489,Cat_491,Cat_492,Cat_494,Cat_498,Quan_26,Quan_27,Quan_28,Quan_29,Quan_22,Cat_510,Cat_512
3000,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0,3220,2215700,6200.0,5.0,407303.0,2738.0,21.0,3.0,11.0,21.0,21.0,8.0,2.0,2.0,8.0,8.0,0,0,0,0,0,0,1,1,0,409600.0,0,1,4.0,8.0,11.085714285714285,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.748663101604278,14.863636363636363,1.0,1,0,0,1,1,1,1,1,1,0,0,0,6.444444444444445,0,5.0,28.0,0,28.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,5000.0,2000.0,2000.0,500.0,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,0,2464,887900,7100.0,62.0,136366.0,1389.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,1,1546.0,0,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34000,18000.0,6000.0,2000.0,2000.0,2000.0,2000.0,2000.0,3000.0,2000.0,2000.0,1071.9874804381848,0,3395,2704600,9400.0,97.0,169441.0,2985.0,64.0,29.0,11.0,64.0,64.0,47.0,27.0,6.0,47.0,47.0,0,0,0,0,0,0,1,1,0,24576.0,0,1,2.0,2.0,11.085714285714285,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,0,1,1,0,0,1,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,500.0,500.0,500.0,500.0,500.0,2000.0,500.0,2000.0,500.0,500.0,500.0,1,2352,1684000,5600.0,64.0,166518.0,2169.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,200.0,1,1,8.0,2.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1.0,14.863636363636363,7.0,1,1,0,1,1,0,1,0,1,1,0,0,6.444444444444445,0,5.0,40.0,0,55.49201277955272,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0,3192,2175300,5900.0,17.0,283838.0,3006.0,7.0,0.0,4.0,7.0,7.0,2.0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,1,1,0,101.0,0,1,10.0,2.0,11.085714285714285,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,1,1,0,0,1,6.444444444444445,0,5.0,198.0,0,198.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2000.0,2000.0,5000.0,500.0,500.0,1751.4409221902017,1492.721979621543,1411.373707533235,1320.8841463414635,1190.6976744186047,1071.9874804381848,1,3535,4645600,5700.0,78.0,167598.0,3090.0,4.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,2.0,2.0,0,0,0,0,0,0,0,1,1,120.0,0,0,9.446952595936795,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,8000.0,16000.0,3000.0,5000.0,3000.0,2000.0,2000.0,2000.0,2000.0,500.0,500.0,1,2835,2657500,8000.0,61.0,13671.0,2488.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,4096.0,1,1,10.0,4.0,11.085714285714285,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.0,14.863636363636363,3.126126126126126,1,1,0,1,1,0,1,0,1,1,0,1,6.444444444444445,0,5.0,34.0,0,34.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27000,5000.0,2000.0,500.0,2000.0,2000.0,3000.0,2000.0,500.0,500.0,500.0,2000.0,1,2926,3054600,8300.0,135.0,488430.0,1535.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,1,0,1,1,2048.0,1,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,0,1,1,0,1,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
79000,21000.0,15000.0,5000.0,5000.0,2000.0,2000.0,2000.0,2000.0,2000.0,3000.0,3000.0,0,3206,2215700,7400.0,92.0,872255.0,2831.0,73.0,33.0,22.0,73.0,73.0,37.0,23.0,2.0,37.0,37.0,0,0,0,0,0,0,1,1,0,2770944.0,0,1,24.0,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,3.0,52.80523255813954,0,55.49201277955272,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2000,2000.0,2000.0,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0,2143,396300,4900.0,21.0,49935.0,2003.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,1,1536.0,0,1,12.0,3.2570754716981134,12.0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2000.0,3000.0,2000.0,2000.0,500.0,500.0,2000.0,500.0,500.0,500.0,500.0,0,2113,320800,7300.0,55.0,477063.0,1959.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,12288.0,0,1,8.0,2.0,11.085714285714285,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3.0,14.863636363636363,1.0,1,0,0,1,1,0,1,1,1,1,0,1,3.0,0,3.0,30.0,0,30.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000,18000.0,2000.0,2000.0,3000.0,500.0,2000.0,1492.721979621543,1411.373707533235,1320.8841463414635,1190.6976744186047,1071.9874804381848,1,3521,4575000,8900.0,111.0,105605.0,2155.0,38.0,22.0,2.0,38.0,38.0,24.0,13.0,0.0,24.0,24.0,0,0,0,0,0,0,1,1,1,67584.0,1,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,0,1,0,1,1,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2000,2000.0,2000.0,500.0,500.0,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,1,1939,865700,6700.0,18.0,471617.0,1555.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,1,1,1,0,400.0,1,1,9.446952595936795,4.0,11.085714285714285,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,0,1,1,0,1,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
87000,26000.0,74000.0,21000.0,35000.0,27000.0,15000.0,13000.0,16000.0,5000.0,3000.0,2000.0,1,3199,3570700,8800.0,74.0,696622.0,2988.0,313.0,26.0,273.0,313.0,313.0,288.0,19.0,265.0,288.0,288.0,0,0,0,0,0,0,1,1,0,4096.0,1,1,10.0,4.0,10.0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,14.863636363636363,1.0,0,1,0,1,1,0,1,0,0,1,0,1,6.444444444444445,0,5.0,30.0,0,30.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,5000.0,2000.0,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1,3229,3792300,6400.0,39.0,5633.0,3026.0,40.0,1.0,29.0,40.0,40.0,6.0,0.0,1.0,6.0,6.0,0,0,0,0,0,0,0,1,0,380.0,1,0,4.0,2.0,11.085714285714285,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,0,0,1,1,1,0,1,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0,3227,2301100,6100.0,45.0,9772.0,2721.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,1,1,1,3355443.0,0,1,9.446952595936795,2.0,11.085714285714285,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,0,1,1,1,1,0,0,6.444444444444445,0,5.0,8.0,0,8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0,2485,918600,5800.0,30.0,195081.0,2297.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,1158.0,0,1,9.446952595936795,2.0,11.085714285714285,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,0,0,1,1,1,1,0,0,6.444444444444445,0,5.0,2.0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,2000.0,3000.0,500.0,500.0,500.0,500.0,2000.0,2000.0,500.0,500.0,500.0,1,2695,2454000,7100.0,106.0,37215.0,2113.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,1,1,1,1,1536.0,1,1,8.0,3.2570754716981134,8.0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,0,1,1,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2000,2000.0,3000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1,2829,2617100,6500.0,4.0,438942.60714285716,2666.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,132.0,1,1,9.446952595936795,4.0,11.085714285714285,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,1,1,0,0,1,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,6000.0,3000.0,2000.0,2000.0,2000.0,2000.0,500.0,500.0,2000.0,500.0,500.0,0,3003,1950700,8200.0,102.0,447992.0,1758.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,1,1228800.0,0,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
29000,31000.0,8000.0,5000.0,5000.0,2000.0,2000.0,10000.0,3000.0,3000.0,3000.0,3000.0,0,2702,1252200,8500.0,154.0,401293.0,1479.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,0,0,0,1770496.0,0,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
32000,5000.0,3000.0,5000.0,3000.0,2000.0,2000.0,500.0,2000.0,3000.0,500.0,2000.0,0,1890,192800,8300.0,106.0,793103.0,1231.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,0,0,0,725.0,0,0,12.0,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,0,1,1,1,0,0,0,7.0,0,7.0,52.80523255813954,0,55.49201277955272,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8000,2000.0,2000.0,2000.0,500.0,500.0,500.0,500.0,500.0,2000.0,500.0,500.0,0,1890,192800,8200.0,50.0,412632.0,1679.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,393.0,0,0,4.0,4.0,11.085714285714285,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,0,1,1,0,1,6.444444444444445,0,5.0,18.0,1,18.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,10000.0,3000.0,2000.0,2000.0,500.0,3000.0,5000.0,2000.0,2000.0,2000.0,500.0,1,1602,277900,8100.0,127.0,29197.0,1522.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,1,0,1,0,4096.0,1,1,8.0,2.0,11.085714285714285,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,0,1,1,1,0,0,0,6.444444444444445,0,5.0,11.0,0,11.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2000,2000.0,500.0,2000.0,2000.0,500.0,2000.0,1492.721979621543,1411.373707533235,1320.8841463414635,1190.6976744186047,1071.9874804381848,0,3500,2835900,6300.0,23.0,39964.0,3382.0,8.0,2.0,2.0,8.0,8.0,4.0,2.0,0.0,4.0,4.0,0,0,0,0,0,0,1,1,0,3072.0,0,1,9.446952595936795,2.0,11.085714285714285,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,1,1,0,0,0,6.444444444444445,0,5.0,8.0,0,8.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1,2807,2617100,4500.0,43.0,56051.0,1982.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,1,0,1,1,52224.0,1,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2000,5000.0,2000.0,2000.0,2000.0,500.0,500.0,2000.0,500.0,500.0,500.0,500.0,0,3220,2215700,6986.738836265224,62.166219839142094,386836.0,3026.0,10.0,3.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,51302.0,0,1,4.0,4.0,11.085714285714285,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,1,1,0,0,0,6.444444444444445,0,5.0,8.0,0,8.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
11000,10000.0,3000.0,2000.0,2000.0,3000.0,8000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1,3101,3311300,7900.0,81.0,940341.0,2628.0,30.0,10.0,7.0,30.0,30.0,18.0,8.0,0.0,18.0,18.0,0,0,0,0,0,0,1,1,0,1024.0,0,1,9.446952595936795,2.0,11.085714285714285,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,1,1,1,1,0,0,0,6.444444444444445,0,5.0,167.0,0,167.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2000,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0,2513,981000,4600.0,10.0,88573.0,2401.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,972800.0,0,1,14.0,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.748663101604278,14.863636363636363,1.0,1,0,0,1,1,0,1,0,1,0,0,1,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,5000.0,2000.0,2000.0,2000.0,500.0,500.0,2000.0,500.0,500.0,500.0,500.0,1,3226,3792300,6700.0,29.0,163947.0,3026.0,11.0,3.0,5.0,11.0,11.0,3.0,0.0,1.0,3.0,3.0,0,0,0,0,0,1,1,1,0,1024.0,1,1,4.0,4.0,11.085714285714285,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,0,1,1,1,0,0,0,6.444444444444445,0,5.0,6.0,0,6.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
10000,5000.0,2000.0,2000.0,500.0,2000.0,3000.0,2000.0,2000.0,2000.0,2000.0,500.0,1,3087,3311300,7600.0,69.0,824187.0,2967.0,29.0,3.0,14.0,29.0,29.0,14.0,3.0,0.0,14.0,14.0,0,0,0,0,0,1,1,1,0,512.0,1,1,9.446952595936795,2.0,11.085714285714285,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,0,1,1,1,1,0,0,0,6.444444444444445,0,5.0,4.0,0,4.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2000,500.0,500.0,500.0,2852.1320495185696,2018.4397163120568,1751.4409221902017,1492.721979621543,1411.373707533235,1320.8841463414635,1190.6976744186047,1071.9874804381848,1,3591,4934700,4700.0,10.0,438942.60714285716,2319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,256.0,1,1,3.0,3.0,11.085714285714285,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,0,0,1,1,0,0,0,6.444444444444445,0,5.0,9.0,0,9.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2000,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0,2499,981000,5000.0,43.0,224371.0,2012.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,0,1,1,4718592.0,0,1,8.0,3.2570754716981134,11.085714285714285,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8000,5000.0,2000.0,500.0,500.0,500.0,2000.0,500.0,500.0,1320.8841463414635,1190.6976744186047,1071.9874804381848,1,3458,4480600,7000.0,91.0,93023.0,3026.0,25.0,9.0,0.0,25.0,25.0,15.0,5.0,0.0,15.0,15.0,0,0,0,0,0,0,1,1,0,2048.0,1,1,4.0,2.0,11.085714285714285,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,1,1,1,1,1,0,0,4.0,0,4.0,52.80523255813954,0,55.49201277955272,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3000,2000.0,2000.0,500.0,500.0,500.0,2000.0,500.0,500.0,500.0,500.0,500.0,1,2001,922700,3800.0,48.0,84266.0,1850.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,60.0,1,1,12.0,3.2570754716981134,12.0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,5.0,3.0,0,55.49201277955272,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
16000,6000.0,11000.0,3000.0,5000.0,3000.0,3000.0,2000.0,3000.0,2000.0,2000.0,2000.0,0,2478,918600,8700.0,58.0,222511.0,2337.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,23552.0,0,1,20.0,7.0,11.085714285714285,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,14.863636363636363,3.126126126126126,0,1,0,1,1,0,1,0,0,0,0,0,6.444444444444445,0,5.0,512.0,0,512.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
